Material_x,Cast_code,Stress,Temp,Frac,Elong,RA,C,Cr,Co,Al,Ti,Mo,W,Nb,Fe,B,V,Ni,Si,Mn,Cu,S,P,N,NbTa
32,221,9.99083419924641,997.859927675901,50211.609118131,16.8380612654011,24.6749639026591,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.055026411065,999.680298630996,50446.9012439967,17.0473602601766,25.1017766343934,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.975592648114,1010.0596051659,49059.9509491043,16.9283741247022,24.9042156488595,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0480831161737,992.289690847819,50126.3311800665,17.0551406922828,24.928116800804,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98049856697691,1004.4922260291,50110.9300673796,17.1131510999511,25.3285486138799,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98811495792059,1002.70155048079,49746.505197404,16.9639808890777,24.9305265453955,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.94214280579615,1001.15380712732,50557.3364054449,17.0593543648916,25.2137250385643,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.86163038305378,1007.37704208632,49890.1236269318,16.5717603989349,24.3824209819082,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.93040847102168,1007.79474593558,50669.0977475604,17.1096173040368,25.3070960966262,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.011952483872,996.563223226073,49895.1359260158,16.8544319440904,24.7282270991279,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96529319964555,995.687192412004,49945.2155883608,16.8913621634567,24.6913155054527,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98040297596691,1003.662918816,50062.8321373417,17.1678837873156,25.1883213249665,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0311451639126,996.479727877079,49273.3418688465,16.9161612775183,24.8662501809591,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.94310047802367,1000.4462400894,50790.267791715,16.7757605378781,24.6949668860618,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96629679451052,1008.86825563504,50083.5150722669,16.876751896082,24.7942498886996,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0583183214571,1012.735278321,50167.1314936023,17.4731484912371,25.4657987624583,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.84154945077857,1014.40228765471,50470.554490128,17.1175486771071,24.9024492953849,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.94758503872004,1004.57571027508,49836.7363605014,16.7194166607448,25.0582507282724,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.90420088671363,1005.90422080778,50916.9983816021,17.1423363659253,25.0398808451729,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0408201194121,1000.59229552673,49764.9376171665,16.8136567388544,24.8174577825861,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.87234217534444,1005.18809996538,50392.7613777049,16.7883293659529,24.5561902375596,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.92857934094106,1001.05355710949,50368.7962012314,16.7845048278182,24.6720406443955,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.90481468365734,1004.89843242243,50662.1993318353,17.1708009382404,25.1313747092385,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.97717984412304,1005.01853033243,49963.0803279354,17.0291564810487,25.0882953734961,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0984363014739,989.50450084292,50271.3253971338,17.1899197154755,25.4721191252412,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0954322763715,1000.57373237383,50337.6280599599,17.1383559405744,25.1853610048986,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.89710474054136,993.291299421575,51004.2366111861,16.66159783051,24.5000258575583,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.92045533817229,991.925174999627,51201.7616042397,16.7563504060763,24.3367663731492,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0205385390162,1003.59433319799,50381.4543610433,17.1885301152147,25.1398852406156,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.89211337935248,1011.80559003959,50536.6512452361,17.0903055237645,25.0322480364908,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0428891281202,995.526539052094,49499.6193309308,16.9333043146492,24.7935095989676,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0816277230357,998.448419575178,49474.4175543155,17.0608711330528,24.9682013219929,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.76490060856272,1019.12049378552,50038.1630530285,16.994970133496,25.0066995779675,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.2700382245143,974.577105864513,50178.2603740723,17.0559249364163,25.0436726142517,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.97095889790796,985.637465704946,50870.5536490317,16.6557634064059,24.5966311233447,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.90911557490846,999.436178637801,50553.7571683089,16.921224975378,24.8268603167657,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0557285620905,996.772062749093,49352.753821581,16.7291730656298,24.7808373635309,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.2164750445104,987.644123432379,49239.5069432071,17.0798159930069,25.316525736375,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96310500012758,1010.115930093,50310.5288487638,17.3605242651716,25.4657148684876,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0676328373862,997.946666624133,49709.2894040143,17.0483551527665,25.1541650827639,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0182882448555,992.25443045975,50010.8840883277,16.9144546765685,24.7426373891351,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.043182576446,987.168461414841,50972.3736723521,16.8582331890714,24.8128212575879,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0096680636359,992.662531557083,49348.8511287449,16.6862306256061,24.5543918500421,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.97620862519527,1004.8793093609,50087.9923758557,17.2796627110904,25.2815424010631,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.9782233849613,996.092023471929,50128.7766249771,16.8128955531394,24.8002018577445,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.86494233128025,1011.93742377702,50144.3213926341,16.8942560875865,24.7153543709209,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1315168630902,997.572489150924,50318.0905986163,17.3765180063919,25.4613891243609,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0833319517034,998.291225740598,49295.6665041282,16.9533090481759,25.0746924227647,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.92288931746241,1006.2698344428,50072.6087337612,16.8722149917849,24.8794639937331,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1073717702103,987.693613729238,50303.8990891686,17.0494239086599,25.0797681645692,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96878424332706,1007.8691313677,49954.2750740926,17.1692336662401,24.8815403301581,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1015607503205,1001.83786618636,50029.8225781299,17.4552466133416,25.2996149416106,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0343566940896,981.025397561467,51033.3242127593,16.8146867362357,24.7385579388206,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.853103430656,1008.02004375413,50837.6239858385,16.8749810363002,24.6447323446678,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0682059394737,996.798922138869,49694.3247866388,16.8693171447459,24.7161995104467,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0095622429179,992.706540797735,50819.7363452732,16.8532039790579,24.9146214970335,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.9429317533109,1005.1135416249,50196.2490360833,16.9232447481475,24.9266609695301,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96497652556637,991.06602344128,50610.5777650545,16.6736942406622,24.5256585791477,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96615887672123,997.354148172998,50436.6033131573,17.1253015842949,25.0643602038844,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0285485402362,993.219661035065,49979.6391356204,16.7085462037378,24.7458911638776,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.96683864510416,1003.69985386958,50174.3726036937,16.8179400332808,24.8962048208555,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.95095798006802,990.014980906565,51454.7043971596,16.9396827113358,24.6144136758926,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0181625883024,990.627614975476,50225.1074312219,16.8756184399474,25.1631315901244,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.99452718703676,995.932255474299,50896.8930076289,17.1273889441371,24.8022165195525,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1422592594042,988.351578428781,50239.6888853395,17.2155046431459,25.1023582408362,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.72857012402498,1021.4115074615,50893.1502105069,16.7972793462468,24.5890582396883,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.95892503589277,997.808225443657,50272.7253228243,16.7547864215706,24.9232028193873,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0002857447198,1001.20409590837,50186.3395907725,17.0318697202775,24.8622509349379,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0001546589725,1005.05318061924,50024.4227467247,17.2704680859841,25.1904487454952,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.92919769320618,1001.37304686569,50390.5913489548,16.6915741951205,24.5487771091182,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0177567495504,996.008898890101,51046.2733867088,17.1261301337379,25.0496720637176,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98371964023136,1002.27055867067,50838.171524548,17.0514102881066,24.9837337706404,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0139604150473,989.779453634662,51144.4064133997,16.9003330570571,24.7810226975698,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1049065154358,987.195307717881,49667.2355838245,16.8446762349147,24.6045281951379,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0458445963321,995.177299649563,50141.44044769,16.8594903076979,25.0654926170495,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.91827551528997,993.432369486558,50958.4084794414,16.6731380894719,24.561169877445,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0591985580581,996.372254038303,50382.5056202477,17.1149131934078,25.0044152100041,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.85842422055302,1014.65479338557,50369.4464964982,16.9805726066058,24.9504706639925,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0281220207073,986.901377004924,50153.8775395024,16.85652824916,24.6906769535372,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0746029896264,1002.08294416411,49403.5419099382,17.0451803260539,25.245586906983,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98767641846191,1002.94825350623,50604.8588092772,17.1347923432126,25.2715410513117,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.87923006537993,1011.48355622243,50462.0885303413,16.778532184107,24.8505326472924,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.93293369987123,1001.21665131078,50032.1780030798,17.0028943649101,25.0318650089285,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.9276440704685,991.221600767719,51107.6817100673,17.0490846898151,24.8361864432313,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.1022402164009,986.959614023539,49601.7866310575,16.9930063638903,25.0910517510274,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.99979791727027,999.517509629793,49859.3993866384,16.9353109126154,25.0862662166561,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.87387851191109,1013.59468729799,49982.480551927,17.1089650818828,24.9496528285171,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0843496116401,1002.29962634203,49862.5220835551,17.2881143394184,25.2457203090101,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0740762976429,1008.3491496627,49589.9575044021,17.0874798222276,25.0856876055035,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.136907045184,983.498464589496,49970.8746374397,17.0252798453315,25.1826264806822,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0217468772751,1002.6861622148,49829.2260500548,17.2101690433995,25.4292606184701,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.98273169575948,1000.29310110118,49860.2080725053,16.9215433612242,24.6908944255071,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0681995113963,1000.31927253803,49424.9979564487,17.2254415780041,25.1860643636864,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0774290933203,1001.83796578343,50014.7370449865,17.3040867071613,25.6105756740718,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.91114279427315,1007.97163006258,50697.1126222387,17.283727496877,24.9778550031595,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.92003768215279,1017.15008958461,50796.2517591018,17.2334336278787,25.2717780764433,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.91437045563775,1012.4180314625,50214.576692085,17.2810875955725,25.3471961699335,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,10.0156260554383,995.504422475723,50103.3838048821,16.9148223778383,24.8719368889801,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
32,221,9.88065171935246,1002.04756921801,51541.6095222181,17.0263360698632,25.0264921713043,0.48,25.64,0.45,1e-05,1e-05,0.06,0,0,0,0,0,34.47,0.83,1.01,0.03,0.005,0.009,0.079,1e-05
